esp1id,RSSI1,esp2id,RSSI2,inOrNot,Passangercount
4444,-40,3333,-46,yes,1
4444,-40,3333,-47,yes,1
4444,-41,3333,-46,yes,1
4444,-40,3333,-47,yes,1
4444,-40,3333,-47,yes,1
4444,-40,3333,-46,yes,1
4444,-40,3333,-47,yes,1
4444,-41,3333,-47,yes,1
4444,-41,3333,-48,yes,1
4444,-40,3333,-46,yes,1
4444,-40,3333,-46,yes,1
4444,-40,3333,-48,yes,1
4444,-41,3333,-46,yes,1
4444,-40,3333,-47,yes,1
4444,-41,3333,-47,yes,1
4444,-40,3333,-46,yes,1
4444,-41,3333,-46,yes,1
4444,-41,3333,-47,yes,1
4444,-41,3333,-47,yes,1
4444,-41,3333,-47,yes,1
2222,-41,4444,-61,no,1
2222,-42,4444,-63,no,1
2222,-41,4444,-62,no,1
2222,-41,4444,-61,no,1
2222,-41,4444,-60,no,1
2222,-41,4444,-60,no,1
2222,-41,4444,-64,no,1
2222,-41,4444,-63,no,1
2222,-41,4444,-62,no,1
2222,-41,4444,-60,no,1
2222,-41,4444,-61,no,1
2222,-41,4444,-62,no,1
2222,-42,4444,-62,no,1
2222,-41,4444,-64,no,1
2222,-41,4444,-62,no,1
2222,-41,4444,-61,no,1
2222,-41,4444,-60,no,1
2222,-41,4444,-61,no,1
2222,-41,4444,-60,no,1
2222,-40,4444,-60,no,1
2222,-41,4444,-62,no,1
2222,-41,4444,-61,no,1
2222,-41,4444,-63,no,1
2222,-40,4444,-62,no,1
2222,-41,4444,-63,no,1
2222,-41,4444,-63,no,1
2222,-41,4444,-61,no,1
2222,-41,4444,-60,no,1
2222,-42,4444,-63,no,1
2222,-41,4444,-62,no,1
2222,-41,4444,-62,no,1
2222,-48,4444,-56,no,1
2222,-48,4444,-56,no,1
2222,-52,4444,-59,no,1
4444,-55,2222,-57,no,1
4444,-53,3333,-56,no,1
2222,-55,4444,-60,no,1
2222,-55,4444,-58,no,1
2222,-54,4444,-59,no,1
2222,-56,4444,-58,no,1
2222,-56,4444,-58,no,1
2222,-55,4444,-59,no,1
2222,-56,4444,-60,no,1
2222,-56,4444,-60,no,1
2222,-56,4444,-61,no,1
2222,-55,4444,-60,no,1
2222,-55,4444,-60,no,1
2222,-55,4444,-58,no,1
2222,-55,4444,-60,no,1
2222,-55,4444,-59,no,1
2222,-55,4444,-60,no,1
2222,-56,4444,-59,no,1
2222,-55,4444,-59,no,1
2222,-56,4444,-60,no,1
2222,-56,4444,-60,no,1
2222,-56,4444,-59,no,1
2222,-56,4444,-60,no,1
2222,-56,4444,-58,no,1
2222,-56,4444,-59,no,1
2222,-55,4444,-59,no,1
2222,-56,4444,-59,no,1
